IpRangeId,Operator,RangeStart,RangeEnd
375,Docomo,49.201.96.1,49.201.111.254
376,Docomo,49.201.56.1,49.201.63.254
377,Docomo,49.201.48.1,49.201.55.254
378,Docomo,49.201.40.1,49.201.47.254
379,Docomo,49.201.32.1,49.201.39.254
380,Docomo,49.201.248.1,49.201.255.254
381,Docomo,49.201.246.1,49.201.247.254
382,Docomo,49.201.244.1,49.201.245.254
383,Docomo,49.201.242.1,49.201.243.254
384,Docomo,49.201.240.1,49.201.241.254
385,Docomo,49.201.236.1,49.201.239.254
386,Docomo,49.201.232.1,49.201.235.254
387,Docomo,49.201.228.1,49.201.231.254
388,Docomo,49.201.224.1,49.201.227.254
389,Docomo,49.201.208.1,49.201.223.254
390,Docomo,49.201.208.1,49.201.223.254
391,Docomo,49.201.204.1,49.201.207.254
392,Docomo,49.201.200.1,49.201.203.254
393,Docomo,49.201.196.1,49.201.199.254
394,Docomo,49.201.192.1,49.201.195.254
395,Docomo,49.201.176.1,49.201.191.254
396,Docomo,49.201.160.1,49.201.175.254
